multidimensional_vida.varcharidcomunafk;multidimensional_vida.intaño;multidimensional_vida.decentornocalidadvivienda;multidimensional_vida.decaccesoserviciospublicos;multidimensional_vida.decmedioambiente;multidimensional_vida.decescolaridad;multidimensional_vida.decdescolarizacion;multidimensional_vida.decmovilidad;multidimensional_vida.deccapitalfisicohogar;multidimensional_vida.decparticipacion;multidimensional_vida.declibertadseguridad;multidimensional_vida.decvulnerabilida;multidimensional_vida.decsalud;multidimensional_vida.dectrabajo;multidimensional_vida.decrecreacion;multidimensional_vida.decpercepcioncalidadvida;multidimensional_vida.decingresos;multidimensional_vida.decimcv
14;2011;9.38;4.34;3.55;4.67;4.42;1.68;12.74;1.48;1.87;21.08;4.43;0.83;0.55;1.86;3.54;76.63
14;2012;9.39;4.33;3.62;4.97;4.44;1.74;12.77;1.43;1.77;21.11;4.32;0.8;0.52;1.88;3.5;76.62
14;2013;9.39;4.37;3.49;4.83;4.42;1.73;12.86;1.59;1.79;20.48;4.42;0.82;0.09;1.88;3.52;75.73
14;2014;9.36002348;4.35498375;3.47251769;4.64562562;4.44626658;1.66850065;12.74771769;1.67368505;1.78785878;20.96879519;4.25943652;0.76464421;0.08153355;1.8185736;3.6534117;75.85
14;2015;9.391;4.298;2.999;4.873;4.427;1.597;12.323;1.649;1.91;20.845;4.272;0.799;0.122;1.776;3.231;74.64
14;2016;9.34879025;4.34188448;3.39721751;4.66291594;4.51567112;1.73393087;12.39221408;1.66893375;1.90630108;21.01380957;4.33041648;0.72804567;0.08023105;1.82606715;3.4632878;75.48
14;2017;9.39329774;4.22424742;3.4150869;4.69389333;4.52178672;1.69467269;12.34120111;1.5992179;1.84195258;21.11169889;4.17218566;0.76342841;0.1382393;1.83040461;3.50139123;75.34
14;2018;9.41093535;4.30435889;3.52133759;4.84480149;4.46466426;1.80024778;12.74137222;1.80972389;1.77717648;21.07123074;4.4239942;0.66804481;0.16172944;1.9211863;3.64106194;76.6
15;2011;5.19;4.22;2.79;2.31;4.16;1.54;6.84;1.27;1.89;12.94;3.46;0.65;0.28;1.54;1.58;50.63
15;2012;5.19;4.19;2.76;2.25;4.2;1.65;6.79;1.03;1.66;13.41;3.45;0.58;0.42;1.63;1.66;51.02
15;2013;5.2;4.22;2.76;2.4;4.23;1.48;6.94;1.42;1.83;13.1;3.48;0.69;0.05;1.45;1.79;51.03
15;2014;5.2053645;4.14575946;2.81420432;2.43565962;4.26426243;1.54970595;7.03215054;1.43180703;1.76717784;13.4601727;3.66268516;0.64970973;0.04838892;1.55067081;1.90345892;51.97
15;2015;5.144;4.07;2.491;2.354;4.308;1.582;6.793;1.389;1.85;13.715;3.715;0.626;0.035;1.557;1.595;51.03
15;2016;5.14708398;4.11613837;2.66806667;2.39305233;4.23784109;1.59938023;6.83225543;1.41228915;1.83291473;12.19610736;3.39902963;0.55752597;0.06038062;1.50466357;1.76755891;49.39
15;2017;5.20117559;4.07617529;2.51890314;2.28131388;4.32651412;1.56638314;6.93600627;1.28031765;1.71193373;13.55746275;3.64670199;0.49991216;0.09079373;1.57645294;1.75475882;50.99
15;2018;5.23463701;4.08158314;2.81850745;2.33958858;4.39859255;1.60370863;6.86325294;1.42628;1.7166498;13.70493569;3.75404816;0.6455502;0.0987749;1.61974902;2.04073059;52.35
16;2011;5.98;4.17;3.44;3.01;4.26;1.67;8.36;1.23;1.64;14.61;4.04;0.6;0.56;1.66;2.11;57.15
16;2012;5.99;4.23;3.12;3.05;4.3;1.54;8.28;1.22;1.56;15.02;3.77;0.63;0.43;1.61;2.29;57.07
16;2013;5.97;4.24;3.0;3.22;4.31;1.5;8.48;1.5;1.74;14.59;3.74;0.73;0.06;1.57;2.31;56.86
16;2014;5.97279737;4.23691519;3.15568099;3.00959856;4.34139316;1.50501814;8.407093;1.48791027;1.71187462;15.06844383;3.82385734;0.64859976;0.07259658;1.57050875;2.37745736;57.46
16;2015;5.918;4.138;2.772;2.882;4.372;1.543;7.595;1.456;1.847;15.006;3.758;0.615;0.071;1.58;1.965;55.46
16;2016;5.95170531;4.22267136;2.98933341;2.96021424;4.34551211;1.56266729;8.21026985;1.44343749;1.77821781;14.79759767;3.85961045;0.65146135;0.08293772;1.65653679;2.30902234;56.67
16;2017;5.93453349;4.15736068;2.82949685;3.10839553;4.35467561;1.47048576;7.89106499;1.41477561;1.73065566;15.07643851;3.74457449;0.60754387;0.10815869;1.62624481;2.18405571;56.11
16;2018;6.02140391;4.13717885;2.98102068;3.07892206;4.35376639;1.56428989;8.18702973;1.53486416;1.72591069;15.118298;3.9227724;0.57943043;0.1042859;1.62735112;2.477536;57.43
50;2011;1.55;2.47;3.53;1.24;3.91;1.56;3.32;1.04;2.24;7.08;1.95;0.39;0.09;1.42;0.62;32.28
50;2012;1.55;2.88;4.58;1.28;4.06;0.74;3.2;1.25;2.82;7.4;2.17;0.7;0.39;1.24;0.66;34.82
50;2013;1.57;2.54;3.79;1.53;4.17;0.95;3.78;1.18;2.44;7.59;2.35;0.84;0.11;1.15;0.96;35.11
50;2014;1.94047925;3.40002264;3.64776038;1.69030189;3.99951887;1.31970377;4.35930377;1.15389057;1.97170943;8.28235094;2.79176038;0.65076604;0.02847925;1.55765472;1.01738491;35.94
50;2015;1.349;2.136;5.501;1.482;4.094;1.709;3.389;1.298;2.465;7.447;2.662;0.829;0.157;1.625;1.006;36.64
50;2016;1.68043953;2.66227907;4.89099302;1.69058605;4.10343023;1.48016047;4.34846047;1.35928605;2.13944186;7.24562558;2.62176667;0.77489302;0.11077907;1.45816744;1.39427442;37.71
50;2017;0.9960125;2.8583075;4.925155;2.1354375;4.050745;1.399975;4.52805385;1.626365;2.1179225;6.91537;2.2981575;0.5704925;0.1315525;1.5361;1.1088275;37.09
50;2018;1.80123421;2.86519474;4.81928158;2.06411579;3.86733684;1.31192632;4.35730789;1.39605789;2.09288947;8.09571316;3.03471714;0.57799211;0.0798;1.64384737;1.31698421;39.22
60;2011;2.44;2.51;3.46;1.63;4.04;1.38;4.49;1.08;1.93;8.4;2.89;0.63;0.23;1.47;1.01;38.31
60;2012;2.47;3.29;3.4;1.61;4.09;1.32;4.44;0.89;1.83;9.14;2.92;0.53;0.17;1.4;1.12;38.63
60;2013;2.52;3.73;3.01;1.9;4.06;1.39;4.81;1.26;1.86;8.89;2.82;0.69;0.04;1.34;1.31;39.58
60;2014;2.62517611;3.64290788;3.25480369;1.79284335;4.105583;1.48836355;4.97234617;1.14031429;1.83389877;9.49504606;2.94908571;0.65273941;0.04600837;1.39498276;1.28366133;39.96
60;2015;2.636;3.619;2.89;1.891;4.099;1.454;4.645;1.189;1.857;9.756;3.384;0.601;0.039;1.442;1.364;40.82
60;2016;2.75477364;3.64304147;2.55758372;2.03190504;4.14094845;1.34974457;4.96976148;1.12328915;1.8118814;9.16208682;2.60449451;0.70591589;0.03917829;1.4512062;1.31947481;39.69
60;2017;2.55873629;3.5382417;3.11488726;1.95136965;4.13945019;1.44440116;4.80349336;1.15961274;1.70622201;9.21139382;2.97506601;0.59083591;0.06041313;1.47745444;1.44767992;40.38
60;2018;2.18800078;3.58619339;2.95408716;1.97408711;4.07468288;1.43393774;4.61836349;1.1868716;1.70151206;8.49528599;2.8330588;0.57572879;0.03033424;1.43940311;1.48386615;38.76
70;2011;1.92;2.61;3.1;1.61;3.8;1.35;3.71;0.81;1.63;7.34;2.9;0.58;0.39;1.39;0.85;34.01
70;2012;1.82;3.08;2.74;1.57;3.97;1.23;3.74;1.16;1.31;8.18;2.89;0.42;0.19;1.31;0.85;34.55
70;2013;1.98;3.14;2.85;1.6;4.05;0.96;3.94;1.07;1.61;7.72;3.03;0.71;0.05;1.21;1.3;35.22
70;2014;2.1122608;3.4154704;3.0927792;1.6961752;4.0816376;1.3217688;4.220996;0.9871248;1.869596;8.3685224;2.84713934;0.5786432;0.0242592;1.296912;1.2073208;36.75
70;2015;3.202;3.055;3.028;1.689;4.071;1.296;5.048;1.144;1.807;10.66;3.64;0.54;0.024;1.394;1.344;42.5
70;2016;3.65835981;3.6181486;3.04973364;2.21145701;4.12448972;1.30341402;6.0487271;1.20721215;1.71696916;10.74093832;3.41662617;0.68238505;0.03507196;1.53363364;1.71300093;45.06
70;2017;3.71216869;3.28731;3.096618;2.367539;4.22352;1.425339;5.33537;0.954944;1.550597;11.505647;2.99309388;0.420285;0.080864;1.54687;1.436653;43.62
70;2018;2.48525149;3.18961881;3.14435941;1.95085;4.10188515;1.45781881;4.50336238;1.14124059;1.51398614;9.03125941;3.13402022;0.46009604;0.03002376;1.44878614;1.37664257;39.44
80;2011;3.0;3.24;3.62;1.94;4.01;1.62;5.26;1.09;1.45;9.86;3.67;0.58;0.45;1.6;1.24;42.64
80;2012;3.01;3.89;3.19;1.91;4.09;1.46;5.02;1.07;1.22;9.97;3.11;0.63;0.33;1.46;1.26;41.65
